SCAN_NO_TECH	{No scan technology installed}
WAR_NPC_DESC_11A	{The lifeform barks contentedly at me, satisfied by their narrow victory. It's clear, however, that the warrior's injuries are severe. They have trouble breathing.}
WAR_NPC_OPT_A_11	{Recharge their Exosuit}
WAR_NPC_OPT_B_11	{Share oxygen}
WAR_NPC_OPT_C_11	{Congratulate them}
WAR_NPC_RES_A_11	{The warrior's healing systems come back online. They put on a show of protest, gesturing that they were fine. However, they discreetly offer me an upgrade module in thanks.}
WAR_NPC_RES_B_11	{%NAME% puts on a show of protest, gesturing that they are fine. However, they discretely accept my offer and recharge their life support system. They offer me an upgrade module in thanks.}
WAR_NPC_RES_C_11	{The warrior nods, ignoring the pain, too proud to ask for help. Inhaling deeply, they revel in the suffering and glory of victory.}
WAR_NPC_DESC_12	{The warrior is clutching a small metal idol. As I approach, their eyes glaze over in a strange white sheen. I hear them mutter strange incantations that get louder, then louder again.}
DNT_WAR_NPC_LANG_12	{Hirk bless the fuel! Hirk bless the weapon charge! Hirk bless the fuel! Hirk bless the weapon charge!}
WAR_NPC_DESC_12A	{Without waiting to ask permission, they thrust their hands into my inventory, searching for the elements within. They burn with a strange intensity. The experience is terrifying.}
WAR_NPC_OPT_A_12	{Give metal}
WAR_NPC_OPT_B_12	{Give carbon}
WAR_NPC_OPT_C_12	{Fend them off}
WAR_NPC_RES_A_12	{The warrior priest's hands weave around my offering. They continue to chant, their barks growing fiercer.
With a flourish, these common elements are transformed into nanite clusters. They step back, quiet and exhausted.}
WAR_NPC_RES_B_12	{The warrior priest's hands somehow improve my offering.}
WAR_NPC_RES_C_12	{The warrior priest recoils. They stare down at where I shoved them, a look of disgust and terror on their face, as if my hands have tainted them.}
WAR_NPC_DESC_13	{The warrior is silent for a second, before looking at me conspiratorially. They check over their shoulder for prying eyes before powering down security systems.
The lifeform pulls open a hidden vault at their feet, which seems to be piled high with starship upgrade modules. }
DNT_WAR_NPC_LANG_13	{Contraband interloper. Interested? Non-traceable payment. Products and cargo only. Units unacceptable.}
WAR_NPC_DESC_13A_DUST	{I pause, considering the offer. All I hear is the soft, muted sound of the desert wind outside.<DELAY>0.4<> Is this a trap? A test? The warrior indicates a willingness to trade...}
WAR_NPC_DESC_13A_LUSH	{I pause, considering the offer. Only the distant cry of creatures outside interrupts the silence.<DELAY>0.4<> Is this a trap? A test? The warrior indicates a willingness to trade...}
WAR_NPC_DESC_13A_TOX	{I pause, considering the offer. All I hear is the soft patter of caustic rain on the facility's well-worn roof.<DELAY>0.4<> Is this a trap? A test? The warrior indicates a willingness to trade...}
WAR_NPC_DESC_13A_RAD	{I pause, considering the offer. I feel a strange energy in the air, a reminder of the constant radiation just beyond the facility's walls. <DELAY>0.4<> Is this a trap? A test? The warrior indicates a willingness to trade...}
WAR_NPC_DESC_13A_COLD	{I pause, considering the offer. All I hear is the soft, muted howl of the frozen wind outside.<DELAY>0.4<> Is this a trap? A test? The warrior indicates a willingness to trade...}
WAR_NPC_DESC_13A_HOT	{I pause, considering the offer. My skin pricks, suddenly sweating, a reminder of the constant heat just beyond the facility's walls. <DELAY>0.4<> Is this a trap? A test? The warrior indicates a willingness to trade...}
WAR_NPC_OPT_A_13	{Offer units}
WAR_NPC_OPT_B_13	{Offer metal}
WAR_NPC_OPT_C_13	{Threaten to report}
WAR_NPC_RES_A_13	{The warrior shakes their head, disappointed. Units are, presumably, traceable by the authorities.<DELAY>0.4<> I go to make another offer, but they appear to have decided I am too much of a risk. %NAME% closes the vault. }
WAR_NPC_RES_B_13	{The shifty lifeform nods. A deal is done. With a soft, low growl and the briefest flap of their jaws, %NAME% reaches into their pile of contraband. They hand over an upgrade module for my starship.}
WAR_NPC_RES_C_13	{The warrior glares. They reach for their own Multi-Tool. All too suddenly, I remember that the security cameras have been disabled.
After a tense moment,<MOOD>Sad<> %NAME% stuffs units into my hands. They wish to buy my silence.}
WAR_NPC_DESC_14	{The warrior is young, and looks terrified. Military orders for an upcoming operation fill their terminal screen. When they see me their eyes widen. They proffer their Multi-Tool towards me with trembling hands.}
WAR_NPC_DESC_14_DUST	{The warrior is young, and looks terrified. Their terminal screen is full of orders, instructing them to head out into the desert and join a military campaign against Sentinels.
When they see me their eyes widen. They proffer their Multi-Tool towards me with trembling hands.}
WAR_NPC_DESC_14_LUSH	{The warrior is young, and looks terrified. Their terminal screen is full of orders, instructing them to head into the forest and join a military campaign against Sentinels.
When they see me their eyes widen. They proffer their Multi-Tool towards me with trembling hands.}
WAR_NPC_DESC_14_TOX	{The warrior is young, and looks terrified. Their terminal screen is full of orders, instructing them to head out into the toxic wasteland and join a military campaign against Sentinels.
When they see me their eyes widen. They proffer their Multi-Tool towards me with trembling hands.}
WAR_NPC_DESC_14_RAD	{The warrior is young, and looks terrified. Their terminal screen is full of orders, instructing them to brave the planet's radiation storms and join a military campaign against Sentinels.
When they see me their eyes widen. They proffer their Multi-Tool towards me with trembling hands.}
WAR_NPC_DESC_14_COLD	{The warrior is young, and looks terrified. Their terminal screen is full of orders, instructing them to head out into the frozen wastes and join a military campaign against Sentinels.
When they see me their eyes widen. They proffer their Multi-Tool towards me with trembling hands.}
WAR_NPC_DESC_14_HOT	{The warrior is young, and looks terrified. Their terminal screen is full of orders, instructing them to head outside into the heat and join a military campaign against Sentinels.
When they see me their eyes widen. They proffer their Multi-Tool towards me with trembling hands.}
DNT_WAR_NPC_LANG_14	{New recruit abandon post! Desert Vy'keen High Command orders! Take Multi-Tool weapon!}
WAR_NPC_DESC_14A	{Their yelps sound pleading. The fear in their movements are more than apparent. They are so on edge that they doesn't seem aware of the security cameras that surround us, watching our every move.}
WAR_NPC_OPT_A_14	{Take Multi-Tool}
WAR_NPC_OPT_B_14	{Refuse Multi-Tool}
WAR_NPC_RES_A_14	{The young conscript makes preparations to abandon their post. Silent cameras record their act of disobedience. My part in their desertion has been noted by the Vy'keen authorities.}
WAR_NPC_RES_B_14	{I refuse, and try my best to give the the young warrior a stirring bark. They looked cheered by this effort - or perhaps shamed by the comparison - and take back their weapon. They will die in glorious battle.}
WAR_NPC_DESC_15	{The lifeform clicks their heels together in an authoritarian fashion. They display a series of holographic images - a reptilian figure, and a taller lifeform in a metal casing - before gesturing aggressively with their weapon.}
DNT_WAR_NPC_LANG_15	{Interloper! Give Vy'keen interrogator enemy information! Sacrifice enemy friendship, receive Vy'keen reward!}
WAR_NPC_DESC_15A	{The warrior snarls at me, and their fingers twitch over the weapon's trigger. They demand an answer...}
WAR_NPC_OPT_A_15	{Surrender information}
WAR_NPC_OPT_B_15	{Claim ignorance}
WAR_NPC_OPT_C_15	{Attempt to intimidate}
WAR_NPC_RES_A_15	{I tell the lifeform all I know of the Gek and the Korvax, but it is hard to convey anything meaningful with only gestures. Eventually, %NAME% sighs and motions for me to leave.}
WAR_NPC_RES_B_15	{I try to tell the warrior that I have no information to give them. They become angry. I protest further, but this only induces them to strike me with their weapon.}
WAR_NPC_RES_C_15	{I stand tall and bark at the warrior as fiercely as I can, attempting to resemble a Vy'keen of high rank. %NAME% looks astonished.
Conditioned by years of obedience, they become cowed, apologetic. They hand over their own Multi-Tool as tribute.}
WAR_NPC_DESC_16	{The warrior is old, and of a high rank. They take their time studying my body and my equipment – and snarl with disapproval.}
DNT_WAR_NPC_LANG_16	{Pathetic interloper species! Equivalent to Korvax and Gek! Show Vy'keen warrior strength!}
WAR_NPC_DESC_16A	{I flinch slightly, an involuntary reaction to their spittle-flecked barks. The elderly Vy'keen rolls their eyes, their disdain palpable. I think of ways to impress them...}
WAR_NPC_OPT_A_16	{Dance}
WAR_NPC_OPT_B_16	{Threaten}
WAR_NPC_OPT_C_16	{Bow}
WAR_NPC_RES_A_16	{I attempt a small dance. The elderly warrior is stunned.<MOOD>Negative<> They <AUDIO>WPN_PL_MELEE<>strike me, with great force.}
WAR_NPC_RES_B_16	{The elderly warrior laughs, amused by my boldness. They pause for a moment, then hand me a component taken from their personal Multi-Tool.}
WAR_NPC_RES_C_16	{The elderly warriors snorts with derision. They push me away. I have not earned the right to bow to them.}
WAR_NPC_DESC_17_DUST	{The warrior's nostrils flare as I approach. They inhale deeply, tasting the desert air that has followed me in to this once sterile facility.
They bark out what could be a warning. I hurriedly mime that I am peaceful, and know little of their kind or language.}
WAR_NPC_DESC_17_LUSH	{The warrior's nostrils flare as I approach. They inhale deeply, tasting the humid air that has followed me in to this once sterile facility.
They bark out what could be a warning. I hurriedly mime that I am peaceful, and know little of their kind or language.}
WAR_NPC_DESC_17_TOX	{The warrior's nostrils flare as I approach. They inhale deeply, sampling the damp, caustic smell of the toxic rain that lingers on my Exosuit.
They bark out what could be a warning. I hurriedly mime that I am peaceful, and know little of their kind or language.}
WAR_NPC_DESC_17_RAD	{The warrior's nostrils flare as I approach. They inhale deeply, tasting the metallic tang of the radiation that lingers on my Exosuit.
They bark out what could be a warning. I hurriedly mime that I am peaceful, and know little of their kind or language.}
WAR_NPC_DESC_17_COLD	{The warrior's nostrils flare as I approach. They inhale deeply, filling their lungs with the frozen air that has followed me into the sanctuary of this facility.
They bark out what could be a warning. I hurriedly mime that I am peaceful, and know little of their kind or language.}
WAR_NPC_DESC_17_HOT	{The warrior's nostrils flare as I approach. They inhale deeply, filling their lungs with the burning air that has followed me in to the relative cool of the facility.
They bark out what could be a warning. I hurriedly mime that I am peaceful, and know little of their kind or language.}
DNT_WAR_NPC_LANG_17	{Pathetic interloper! Give elements! Carbon preferred! Honourable warrior teach language!}
WAR_NPC_DESC_17A	{They take a second to think, then grab my Multi-Tool while barking again into my visor – streaking it with saliva. They point at the Mining Beam charge indicator, then at my backpack. I do my best to keep calm.}
WAR_NPC_OPT_A_17	{Give carbon}
WAR_NPC_OPT_B_17	{Give sodium}
WAR_NPC_OPT_C_17	{Give metal}
WAR_NPC_RES_A_17	{The warrior grunts, a little surprised. It seems we have misunderstood one another. They teach me some of the language of their people in an attempt to bridge this divide.}
WAR_NPC_RES_B_17	{The warrior grunts in satisfaction. Impressed by both my gift and my understanding, they teach me several new words of their language.}
